sic,sicdesc,level
2873,NITROGENOUS FERTILIZERS,4
2874,PHOSPHATIC FERTILIZERS,4
2875,"FERTILIZERS, MIXING ONLY",4
2879,"PESTICIDES AND AGRICULTURAL CHEMICALS, NEC",4
2890,MISCELLANEOUS CHEMICAL PRODUCTS,4
2891,ADHESIVES AND SEALANTS,4
2892,EXPLOSIVES,4
2893,PRINTING INK,4
2895,CARBON BLACK,4
2899,"CHEMICALS AND CHEMICAL PREPARATIONS, NEC",4
2900,PETROLEUM REFINING AND RELATED INDUSTRIES,4
2910,PETROLEUM REFINING,4
2911,PETROLEUM REFINING,4
2950,ASPHALT PAVING AND ROOFING MATERIALS,4
2951,ASPHALT PAVING MIXTURES AND BLOCKS,4
2952,ASPHALT FELTS AND COATINGS,4
2990,MISCELLANEOUS PRODUCTS OF PETROLEUM AND COAL,4
2992,LUBRICATING OILS AND GREASES,4
2999,"PRODUCTS OF PETROLEUM AND COAL, NEC",4
3000,RUBBER AND MISCELLANEOUS PLASTICS PRODUCTS,4
3010,TIRES AND INNER TUBES,4
3011,TIRES AND INNER TUBES,4
3020,RUBBER AND PLASTICS FOOTWEAR,4
3021,RUBBER AND PLASTICS FOOTWEAR,4
3030,RECLAIMED RUBBER,4
3031,RECLAIMED RUBBER,4
3040,RUBBER AND PLASTICS HOSE AND BELTING,4
3041,RUBBER AND PLASTICS HOSE AND BELTING,4
3050,"GASKETS, PACKING & SEALING DEVICES & RUBBER & PLASTICS HOSE & BELTING",4
3052,RUBBER AND PLASTICS HOSE AND BELTING,4
3053,"GASKETS, PACKING, AND SEALING DEVICES",4
3060,"FABRICATED RUBBER PRODUCTS, NEC",4
3061,"MOLDED, EXTRUDED, AND LATHE-CUT MECHANICAL RUBBER GOODS",4
3069,"FABRICATED RUBBER PRODUCTS, NEC",4
3070,MISCELLANEOUS PLASTICS PRODUCTS,4
3079,MISCELLANEOUS PLASTICS PRODUCTS,4
3080,MISCELLANEOUS PLASTICS PRODUCTS,4
3081,UNSUPPORTED PLASTICS FILM AND SHEET,4
3082,UNSUPPORTED PLASTICS PROFILE SHAPES,4
3083,"LAMINATED PLASTICS PLATE, SHEET, AND PROFILE SHAPES",4
3084,PLASTICS PIPE,4
3085,PLASTICS BOTTLES,4
3086,PLASTICS FOAM PRODUCTS,4
3087,CUSTOM COMPOUNDING OF PURCHASED PLASTICS RESINS,4
3088,PLASTICS PLUMBING FIXTURES,4
3089,"PLASTICS PRODUCTS, NEC",4
3100,LEATHER AND LEATHER PRODUCTS,4
3110,LEATHER TANNING AND FINISHING,4
3111,LEATHER TANNING AND FINISHING,4
3130,BOOT AND SHOE CUT STOCK AND FINDINGS,4
3131,BOOT AND SHOE CUT STOCK AND FINDINGS,4
3140,"FOOTWEAR, EXCEPT RUBBER",4
3142,HOUSE SLIPPERS,4
3143,"MEN'S FOOTWEAR, EXCEPT ATHLETIC",4
3144,"WOMEN'S FOOTWEAR, EXCEPT ATHLETIC",4
3149,"FOOTWEAR, EXCEPT RUBBER, NEC",4
3150,LEATHER GLOVES AND MITTENS,4
3151,LEATHER GLOVES AND MITTENS,4
3160,LUGGAGE,4
3161,LUGGAGE,4
3170,HANDBAGS AND OTHER PERSONAL LEATHER GOODS,4
3171,WOMEN'S HANDBAGS AND PURSES,4
3172,"PERSONAL LEATHER GOODS, EXCEPT WOMEN'S HANDBAGS AND PURSES",4
3190,"LEATHER GOODS, NEC",4
3199,"LEATHER GOODS, NEC",4
3200,"STONE, CLAY, GLASS, AND CONCRETE PRODUCTS",4
3210,FLAT GLASS,4
3211,FLAT GLASS,4
3220,"GLASS AND GLASSWARE, PRESSED OR BLOWN",4
3221,GLASS CONTAINERS,4
3229,"PRESSED AND BLOWN GLASS AND GLASSWARE, NEC",4
3230,"GLASS PRODUCTS, MADE OF PURCHASED GLASS",4
3231,"GLASS PRODUCTS, MADE OF PURCHASED GLASS",4
3240,"CEMENT, HYDRAULIC",4
3241,"CEMENT, HYDRAULIC",4
3250,STRUCTURAL CLAY PRODUCTS,4
3251,BRICK AND STRUCTURAL CLAY TILE,4
3253,CERAMIC WALL AND FLOOR TILE,4
3255,CLAY REFRACTORIES,4
3259,"STRUCTURAL CLAY PRODUCTS, NEC",4
3260,POTTERY AND RELATED PRODUCTS,4
3261,"VITREOUS CHINA PLUMB FIXTURE,CHINA,EARTHENWARE FITTINGS,BATHROOM ACCESS",4
3262,VITREOUS CHINA TABLE AND KITCHEN ARTICLES,4
3263,FINE EARTHENWARE (WHITEWARE) TABLE AND KITCHEN ARTICLES,4
3264,PORCELAIN ELECTRICAL SUPPLIES,4
3269,"POTTERY PRODUCTS, NEC",4
3270,"CONCRETE, GYPSUM, AND PLASTER PRODUCTS",4
3271,CONCRETE BLOCK AND BRICK,4
3272,"CONCRETE PRODUCTS, EXCEPT BLOCK AND BRICK",4
3273,READY-MIXED CONCRETE,4
3274,LIME,4
3275,GYPSUM PRODUCTS,4
3280,CUT STONE AND STONE PRODUCTS,4
3281,CUT STONE AND STONE PRODUCTS,4
3290,"ABRASIVE, ASBESTOS, & MISCELLANEOUS NONMETALLIC MINERAL PRODUCTS",4
3291,ABRASIVE PRODUCTS,4
3292,ASBESTOS PRODUCTS,4
3293,"GASKETS, PACKING, AND SEALING DEVICES",4
3295,"MINERALS AND EARTHS, GROUND OR OTHERWISE TREATED",4
3296,MINERAL WOOL,4
3297,NONCLAY REFRACTORIES,4
3299,"NONMETALLIC MINERAL PRODUCTS, NEC",4
3300,PRIMARY METAL INDUSTRIES,4
3310,"STEEL WORKS, BLAST FURNACES, AND ROLLING AND FINISHING MILLS",4
3312,"STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), & ROLLING MILLS",4
3313,"ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL",4
3315,STEEL WIREDRAWING AND STEEL NAILS AND SPIKES,4
3316,"COLD-ROLLED STEEL SHEET, STRIP, AND BARS",4
3317,STEEL PIPE AND TUBES,4
3320,IRON AND STEEL FOUNDRIES,4
3321,GRAY AND DUCTILE IRON FOUNDRIES,4
3322,MALLEABLE IRON FOUNDRIES,4
3324,STEEL INVESTMENT FOUNDRIES,4
3325,"STEEL FOUNDRIES, NEC",4
3330,PRIMARY SMELTING AND REFINING OF NONFERROUS METALS,4
3331,PRIMARY SMELTING AND REFINING OF COPPER,4
3332,PRIMARY SMELTING AND REFINING OF LEAD,4
3333,PRIMARY SMELTING AND REFINING OF ZINC,4
3334,PRIMARY PRODUCTION OF ALUMINUM,4
3339,"PRIMARY SMELT & REFINING OF NONFERROUS METALS, EX COPPER & ALUMINUM",4
3340,SECONDARY SMELTING AND REFINING OF NONFERROUS METALS,4
3341,SECONDARY SMELTING AND REFINING OF NONFERROUS METALS,4
3350,ROLLING DRAWING AND EXTRUDING OF NONFERROUS METALS,4
3351,ROLLING DRAWING AND EXTRUDING OF COPPER,4
3353,"ALUMINUM SHEET, PLATE, AND FOIL",4
3354,ALUMINUM EXTRUDED PRODUCTS,4
3355,"ALUMINUM ROLLING AND DRAWING, NEC",4
3356,"ROLLING,DRAWING,EXTRUDING OF NONFERROUS METALS,EXCEPT COPPER,ALUMINUM",4
3357,DRAWING AND INSULATING OF NONFERROUS WIRE,4
3360,NONFERROUS FOUNDRIES (CASTINGS),4
3361,ALUMINUM FOUNDRIES (CASTINGS),4
3362,"BRASS, BRONZE, COPPER, COPPER BASE ALLOY FOUNDRIES (CASTINGS)",4
3363,ALUMINUM DIE-CASTINGS,4
3364,"NONFERROUS DIE-CASTINGS,EXCEPT ALUMINUM",4
3365,ALUMINUM FOUNDRIES,4
3366,COPPER FOUNDRIES,4
3369,"NONFERROUS FOUNDRIES, EXCEPT ALUMINUM AND COPPER",4
3390,MISCELLANEOUS PRIMARY METAL PRODUCTS,4
3398,METAL HEAT TREATING,4
3399,"PRIMARY METAL PRODUCTS, NEC",4
3400,"FABRICATED METAL PRODUCTS, EXCEPT MACHINERY & TRANSPORTATION EQUIPMENT",4
3410,METAL CANS AND SHIPPING CONTAINERS,4
3411,METAL CANS,4
3412,"METAL SHIPPING BARRELS, DRUMS, KEGS, AND PAILS",4
3420,"CUTLERY, HANDTOOLS, AND GENERAL HARDWARE",4
3421,CUTLERY,4
3423,"HAND AND EDGE TOOLS, EXCEPT MACHINE AND HANDSAWS",4
3425,SAW BLADES AND HANDSAWS,4
3429,"HARDWARE, NEC",4
3430,"HEATING EQUIPMENT,EX ELECTRIC & WARM AIR; & PLUMBING FIXTURES",4
3431,ENAMELED IRON AND METAL SANITARY WARE,4
3432,PLUMBING FIXTURE FITTINGS & TRIM,4
3433,"HEATING EQUIPMENT, EXCEPT ELECTRIC AND WARM AIR FURNACES",4
3437,SOLAR ENERGY EQUIPMENT AND COMPONENTS,4
3440,FABRICATED STRUCTURAL METAL PRODUCTS,4
3441,FABRICATED STRUCTURAL METAL,4
3442,"METAL DOORS, SASH, FRAMES, MOLDINGS, AND TRIM",4
3443,FABRICATED PLATE WORK (BOILER SHOPS),4
3444,SHEET METAL WORK,4
3446,ARCHITECTURAL AND ORNAMENTAL METAL WORK,4
3448,PREFABRICATED METAL BUILDINGS AND COMPONENTS,4
3449,MISCELLANEOUS STRUCTURAL METAL WORK,4
3450,"SCREW MACHINE PRODUCTS, & BOLTS, NUTS, SCREWS, RIVETS & WASHERS",4
3451,SCREW MACHINE PRODUCTS,4
3452,"BOLTS, NUTS, SCREWS, RIVETS, AND WASHERS",4
3460,METAL FORGINGS AND STAMPINGS,4
3462,IRON AND STEEL FORGINGS,4
3463,NONFERROUS FORGINGS,4
3465,AUTOMOTIVE STAMPINGS,4
3466,CROWNS AND CLOSURES,4
3469,"METAL STAMPINGS, NEC",4
3470,"COATING, ENGRAVING, AND ALLIED SERVICES",4
3471,"ELECTROPLATING, PLATING, POLISHING, ANODIZING AND COLORING",4
3479,"COATING, ENGRAVING, AND ALLIED SERVICES, NEC",4
3480,"ORDNANCE AND ACCESSORIES, EXCEPT VEHICLES AND GUIDED MISSILES",4
3482,SMALL ARMS AMMUNITION,4
3483,"AMMUNITION, EXCEPT FOR SMALL ARMS",4
3484,SMALL ARMS,4
3489,"ORDNANCE AND ACCESSORIES, NEC",4
3490,MISCELLANEOUS FABRICATED METAL PRODUCTS,4
3491,INDUSTRIAL VALVES,4
3492,FLUID POWER VALVES AND HOSE FITTINGS,4
3493,"STEEL SPRINGS, EXCEPT WIRE",4
3494,"VALVES AND PIPE FITTINGS,NEC",4
3495,WIRE SPRINGS,4
3496,MISCELLANEOUS FABRICATED WIRE PRODUCTS,4
3497,METAL FOIL AND LEAF,4
3498,FABRICATED PIPE AND PIPE FITTINGS,4
3499,"FABRICATED METAL PRODUCTS, NEC",4
3500,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT,4
3510,ENGINES AND TURBINES,4
3511,"STEAM, GAS, AND HYDRAULIC TURBINES & TURBINE GENERATOR SET UNITS",4
3519,"INTERNAL COMBUSTION ENGINES, NEC",4
3520,FARM AND GARDEN MACHINERY AND EQUIPMENT,4
3523,FARM MACHINERY AND EQUIPMENT,4
3524,LAWN AND GARDEN TRACTORS AND HOME LAWN AND GARDEN EQUIPMENT,4
3530,"CONSTRUCTION, MINING, & MATERIALS HANDLING MACHINERY & EQUIPMENT",4
3531,CONSTRUCTION MACHINERY AND EQUIPMENT,4
3532,"MINING MACHINERY & EQUIPMENT, EXCEPT OIL & GAS FIELD MACHY & EQUIPMENT",4
3533,OIL AND GAS FIELD MACHINERY AND EQUIPMENT,4
3534,ELEVATORS AND MOVING STAIRWAYS,4
3535,CONVEYORS AND CONVEYING EQUIPMENT,4
3536,"OVERHEAD TRAVELING CRANES, HOISTS, AND MONORAIL SYSTEMS",4
3537,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS, AND STACKERS",4
3540,METALWORKING MACHINERY AND EQUIPMENT,4
3541,"MACHINE TOOLS, METAL CUTTING TYPES",4
3542,"MACHINE TOOLS, METAL FORMING TYPES",4
3543,INDUSTRIAL PATTERNS,4
3544,"SPECIAL DIES & TOOLS, DIE SETS, JIGS & FIXTURES, & INDL MOLDS",4
3545,"CUTTING TOOLS, MACH TOOL ACCESSORIES, MACHINISTS PREC MEAS DEVICES",4
3546,POWER-DRIVEN HANDTOOLS,4
3547,ROLLING MILL MACHINERY AND EQUIPMENT,4
3548,ELECTRIC AND GAS WELDING AND SOLDERING EQUIPMENT,4
3549,"METALWORKING MACHINERY, NEC",4
3550,"SPECIAL INDUSTRY MACHINERY, EXCEPT METALWORKING MACHINERY",4
3551,FOOD PRODUCTS MACHINERY,4
3552,TEXTILE MACHINERY,4
3553,WOODWORKING MACHINERY,4
3554,PAPER INDUSTRIES MACHINERY,4
3555,PRINTING TRADES MACHINERY AND EQUIPMENT,4
3556,FOOD PRODUCTS MACHINERY,4
3558,POLLUTION CONTROL MACHINERY,4
3559,"SPECIAL INDUSTRY MACHINERY, NEC",4
3560,GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT,4
3561,PUMPS AND PUMPING EQUIPMENT,4
3562,BALL AND ROLLER BEARINGS,4
3563,AIR AND GAS COMPRESSORS,4
3564,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFICATION EQUIP,4
3565,PACKAGING MACHINERY,4
3566,"SPEED CHANGERS, INDUSTRIAL HIGH-SPEED DRIVES, AND GEARS",4
3567,INDUSTRIAL PROCESS FURNACES AND OVENS,4
3568,"MECHANICAL POWER TRANSMISSION EQUIPMENT, NEC",4
3569,"GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, NEC",4
3570,COMPUTER AND OFFICE EQUIPMENT,4
3571,ELECTRONIC COMPUTERS,4
3572,COMPUTER STORAGE DEVICES,4
3573,ELECTRONIC COMPUTING EQUIPMENT (REGISTER ONLINE ONLY),4
3574,"CALCULATING & ACCOUNTING MACHINES, EXCEPT ELECTR COMPUTING EQUIP",4
3575,COMPUTER TERMINALS,4
3576,COMPUTER COMMUNICATIONS EQUIPMENT,4
3577,"COMPUTER PERIPHERAL EQUIPMENT, NEC",4
3578,"CALCULATING AND ACCOUNTING MACHINES, EXCEPT ELECTRONIC COMPUTERS",4
3579,"OFFICE MACHINES, NEC",4
3580,REFRIGERATION AND SERVICE INDUSTRY MACHINERY,4
3581,AUTOMATIC VENDING MACHINES,4
3582,"COMMERCIAL LAUNDRY, DRYCLEANING AND PRESSING MACHINES",4
3585,AIR-COND & WARM AIR HEATING EQUIP & COMMERCIAL & INDL REFRIG EQ,4
3586,MEASURING AND DISPENSING PUMPS,4
3589,"SERVICE INDUSTRY MACHINERY, NEC",4
3590,MISCELLANEOUS INDUSTRIAL AND COMMERCIAL MACHINERY & EQUIPMENT,4
3592,"CARBURETORS, PISTONS, PISTON RINGS, AND VALVES",4
3593,FLUID POWER CYLINDERS AND ACTUATORS,4
3594,FLUID POWER PUMPS AND MOTORS,4
3596,"SCALES AND BALANCES, EXCEPT LABORATORY",4
3599,"INDUSTRIAL AND COMMERCIAL MACHINERY AND EQUIPMENT, NEC",4
3600,"ELECTRONIC & OTHER ELECTRICAL EQUIPMENT & COMPONENTS, EX CMP EQUIP",4
3610,ELECTRIC TRANSMISSION AND DISTRIBUTION EQUIPMENT,4
3612,"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMERS",4
3613,SWITCHGEAR AND SWITCHBOARD APPARATUS,4
3620,ELECTRICAL INDUSTRIAL APPARATUS,4
3621,MOTORS AND GENERATORS,4
3622,INDUSTRIAL CONTROLS,4
3623,"WELDING APPARATUS, ELECTRIC",4
3624,CARBON AND GRAPHITE PRODUCTS,4
3625,RELAYS AND INDUSTRIAL CONTROLS,4
3629,"ELECTRICAL INDUSTRIAL APPARATUS, NEC",4
3630,HOUSEHOLD APPLIANCES,4
3631,HOUSEHOLD COOKING EQUIPMENT,4
3632,HOUSEHOLD REFRIGERATORS AND HOME AND FARM FREEZERS,4
3633,HOUSEHOLD LAUNDRY EQUIPMENT,4
3634,ELECTRIC HOUSEWARES AND FANS,4
3635,HOUSEHOLD VACUUM CLEANERS,4
3636,SEWING MACHINES,4
3639,"HOUSEHOLD APPLIANCES, NEC",4
3640,ELECTRIC LIGHTING AND WIRING EQUIPMENT,4
3641,ELECTRIC LAMP BULBS AND TUBES,4
3643,CURRENT-CARRYING WIRING DEVICES,4
3644,NONCURRENT-CARRYING WIRING DEVICES,4
3645,RESIDENTIAL ELECTRIC LIGHTING FIXTURES,4
3646,"COMMERCIAL, INDUSTRIAL, & INSTITUTIONAL ELECTRIC LIGHTING FIXTURES",4
3647,VEHICULAR LIGHTING EQUIPMENT,4
3648,"LIGHTING EQUIPMENT, NEC",4
3650,"HOUSEHOLD AUDIO AND VIDEO EQUIPMENT, AND AUDIO RECORDINGS",4
3651,HOUSEHOLD AUDIO AND VIDEO EQUIPMENT,4
3652,PHONOGRAPH RECORDS AND PRERECORDED AUDIO TAPES AND DISKS,4
3660,COMMUNICATION EQUIPMENT,4
3661,TELEPHONE AND TELEGRAPH APPARATUS,4
3662,RADIO-TV TRANSMITTING EQUIP & APPARATUS (REGISTER ONLINE ONLY),4
3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIONS EQUIPMENT,4
3664,"SEARCH, DETECTION, NAVIGATION & GUIDANCE SYSTEMS & EQUIPMENT",4
3665,TRAINING EQUIPMENT & SIMULATORS,4
3666,ALARMS & SIGNALING PRODUCTS,4
3669,"COMMUNICATIONS EQUIPMENT, NEC",4
3670,ELECTRONIC COMPONENTS AND ACCESSORIES,4
3671,ELECTRON TUBES,4
3672,PRINTED CIRCUIT BOARDS,4
3673,"TRANSMITTING, INDUSTRIAL, AND SPECIAL PURPOSE ELECTRON TUBES",4
3674,SEMICONDUCTORS AND RELATED DEVICES,4
3675,ELECTRONIC CAPACITORS,4
3676,ELECTRONIC RESISTORS,4
3677,"ELECTRONIC COILS, TRANSFORMERS AND OTHER INDUCTORS",4
3678,ELECTRONIC CONNECTORS,4
3679,"ELECTRONIC COMPONENTS, NEC",4
3680,ELECTRONIC COMPUTING EQUIPMENT,4
3681,COMPUTERS-MINI & MICRO,4
3682,COMPUTERS-MAINFRAME,4
3683,COMPUTER TERMINALS,4
3684,COMPUTER DISC & TAPE DRIVES,4
3685,OPTICAL CHARACTER & LASER SCANNERS,4
3686,COMPUTER GRAPHICS SYSTEMS,4
3687,OFFICE AUTOMATION SYSTEMS,4
3688,COMPUTER PERIPHERALS,4
3689,"COMPUTER EQUIPMENT, NEC",4
3690,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES",4
3691,STORAGE BATTERIES,4
3692,"PRIMARY BATTERIES, DRY AND WET",4
3693,"RADIOGPH,FLUOR,THERA XRAY & TUBES; ELECTROMED & ELECTROTHERA APP",4
3694,ELECTRICAL EQUIPMENT FOR INTERNAL COMBUSTION ENGINES,4
3695,MAGNETIC AND OPTICAL RECORDING MEDIA,4
3699,"ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES, NEC",4
3700,TRANSPORTATION EQUIPMENT,4
3710,MOTOR VEHICLES AND MOTOR VEHICLE EQUIPMENT,4
3711,MOTOR VEHICLES AND PASSENGER CAR BODIES,4
3713,TRUCK AND BUS BODIES,4
3714,MOTOR VEHICLE PARTS AND ACCESSORIES,4
3715,TRUCK TRAILERS,4
3716,MOTOR HOMES,4
3720,AIRCRAFT AND PARTS,4
3721,AIRCRAFT,4
3724,AIRCRAFT ENGINES AND ENGINE PARTS,4
3728,"AIRCRAFT PARTS AND AUXILIARY EQUIPMENT, NEC",4
3730,SHIP AND BOAT BUILDING AND REPAIRING,4
3731,SHIP BUILDING AND REPAIRING,4
3732,BOAT BUILDING AND REPAIRING,4
3740,RAILROAD EQUIPMENT,4
3743,RAILROAD EQUIPMENT,4
3750,"MOTORCYCLES, BICYCLES, AND PARTS",4
3751,"MOTORCYCLES, BICYCLES, AND PARTS",4
3760,GUIDED MISSILES AND SPACE VEHICLES AND PARTS,4
3761,GUIDED MISSILES AND SPACE VEHICLES,4
3764,GUIDED MISSILE & SPACE VEH PROPULSION UNIT & PROPULSN UNIT PARTS,4
3769,"GUIDED MISSILE & SPACE VEHICLE PARTS & AUXILIARY EQUIPMENT, NEC",4
3790,MISCELLANEOUS TRANSPORTATION EQUIPMENT,4
3792,TRAVEL TRAILERS AND CAMPERS,4
3795,TANKS AND TANK COMPONENTS,4
3799,"TRANSPORTATION EQUIPMENT, NEC",4
3800,"MEASURING,ANALYZING,CONTROL INSTR; PHOTO,MED,OPTIC GDS; WATCHES,CLOCKS",4
3810,"SEARCH,DETECTION,NAVIGATION,GUIDANCE,AERONAUTICAL,NAUTICAL SYS,INSTR,EQ",4
3811,"ENGINEERING, LAB, SCIENTIFIC & RESEARCH INSTRUMENTS & ASSOCIATED EQUIP",4
3812,"SEARCH,DETECTION,NAVIGATION,GUIDANCE,AERONAUTICAL AND NAUTICAL SYS,INSTR",4
3820,"LABORATORY APPARATUS AND ANALYTICAL,OPTICAL,MEASURING & CONTROLLNG INSTR",4
3821,LABORATORY APPARATUS AND FURNITURE,4
3822,AUTOMATIC CONTROLS FOR REGULATING RESIDENTL & COMML ENVIR & APPL,4
3823,"INDL INSTR FOR MEAS, DISPLAY, CNTL OF PROCESS VARIABLES; RELATED PDS",4
3824,TOTALIZING FLUID METERS AND COUNTING DEVICES,4
3825,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,4
3826,LABORATORY ANALYTICAL INSTRUMENTS,4
3827,OPTICAL INSTRUMENTS AND LENSES,4
3829,"MEASURING AND CONTROLLING DEVICES, NEC",4
3830,OPTICAL INSTRUMENTS AND LENSES,4
3832,OPTICAL INSTRUMENTS AND LENSES,4
3840,"SURGICAL, MEDICAL, AND DENTAL INSTRUMENTS AND SUPPLIES",4
3841,SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS,4
3842,"ORTHOPEDIC, PROSTHETIC, AND SURGICAL APPLIANCES AND SUPPLIES",4
3843,DENTAL EQUIPMENT AND SUPPLIES,4
3844,X-RAY APPARATUS AND TUBES AND RELATED IRRADIATION APPARATUS,4
3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,4
3850,OPHTHALMIC GOODS,4
3851,OPHTHALMIC GOODS,4
3860,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,4
3861,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,4
3870,"WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS",4
3873,"WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS",4
3900,MISCELLANEOUS MANUFACTURING INDUSTRIES,4
3910,"JEWELRY, SILVERWARE, AND PLATED WARE",4
3911,"JEWELRY, PRECIOUS METAL",4
3914,"SILVERWARE, PLATED WARE, AND STAINLESS STEEL WARE",4
3915,"JEWELERS' FINDINGS AND MATERIALS, AND LAPIDARY WORK",4
3930,MUSICAL INSTRUMENTS,4
3931,MUSICAL INSTRUMENTS,4
3940,"DOLLS, TOYS, GAMES AND SPORTING AND ATHLETIC GOODS",4
3942,DOLLS AND STUFFED TOYS,4
3944,"GAMES, TOYS, AND CHILDREN'S VEHICLES; EXCEPT DOLLS AND BICYCLES",4
3949,"SPORTING AND ATHLETIC GOODS, NEC",4
3950,"PENS, PENCILS, AND OTHER ARTISTS' MATERIALS",4
3951,"PENS, MECHANICAL PENCILS, AND PARTS",4
3952,"LEAD PENCILS, CRAYONS, AND ARTISTS' MATERIALS",4
3953,MARKING DEVICES,4
3955,CARBON PAPER AND INKED RIBBONS,4
3960,"COSTUME JEWELRY & NOVELTIES,BUTTONS & MISC NOTIONS,EX PRECIOUS METAL",4
3961,"COSTUME JEWELRY AND COSTUME NOVELTIES, EXCEPT PRECIOUS METAL",4
3962,"FEATHERS, PLUMES, AND ARTIFICIAL TREES AND FLOWERS",4
3963,BUTTONS,4
3964,"NEEDLES, PINS, HOOKS AND EYES, AND SIMILAR NOTIONS",4
3965,"FASTENERS, BUTTONS, NEEDLES, AND PINS",4
3990,MISCELLANEOUS MANUFACTURING INDUSTRIES,4
3991,BROOMS AND BRUSHES,4
3993,SIGNS AND ADVERTISING SPECIALTIES,4
3995,BURIAL CASKETS,4
3996,"LINOLEUM, ASPHALTED-FELT-BASE, & OTH HARD SURFACE FLOOR COVERINGS,NEC",4
3999,"MANUFACTURING INDUSTRIES, NEC",4
4000,RAILROAD TRANSPORTATION,4
4010,RAILROADS,4
4011,"RAILROADS, LINE-HAUL OPERATING",4
4013,RAILROAD SWITCHING AND TERMINAL ESTABLISHMENTS,4
4100,LOCAL & SURURBAN TRANSIT & INTERURBAN HIGHWAY PASSENGER TRANSPORTATION,4
4110,LOCAL AND SUBURBAN PASSENGER TRANSPORTATION,4
4111,LOCAL AND SUBURBAN TRANSIT,4
4119,"LOCAL PASSENGER TRANSPORTATION, NEC",4
4120,TAXICABS,4
4121,TAXICABS,4
4130,INTERCITY AND RURAL BUS TRANSPORTATION,4
4131,INTERCITY AND RURAL BUS TRANSPORTATION,4
4140,BUS CHARTER SERVICE,4
4141,LOCAL BUS CHARTER SERVICE,4
4142,"BUS CHARTER SERVICE, EXCEPT LOCAL",4
4150,SCHOOL BUSES,4
4151,SCHOOL BUSES,4
4170,TERMINAL & SERVICE FACILITIES FOR MOTOR VEHICLE PASSENGER TRANSPORTATION,4
4171,"TERMINAL,JOINT TERMINAL MAINT FACILITY FOR MOTOR VEH PASSENGER TRANS",4
4172,MAINTENANCE & SERVICE FACIL FOR MOTOR VEHICLE PASSENGER TRANS,4
4173,TERMINAL & SERVICE FACILITIES FOR MOTOR VEHICLE PASSENGER TRANSPORTATION,4
4200,MOTOR FREIGHT TRANSPORTATION AND WAREHOUSING,4
4210,"TRUCKING AND COURIER SERVICES, EXCEPT AIR",4
4212,LOCAL TRUCKING WITHOUT STORAGE,4
4213,"TRUCKING, EXCEPT LOCAL",4
4214,LOCAL TRUCKING WITH STORAGE,4
4215,"COURIER SERVICES, EXCEPT BY AIR",4
4220,PUBLIC WAREHOUSING AND STORAGE,4
4221,FARM PRODUCT WAREHOUSING AND STORAGE,4
4222,REFRIGERATED WAREHOUSING AND STORAGE,4
4224,HOUSEHOLD GOODS WAREHOUSING AND STORAGE,4
4225,GENERAL WARHOUSING AND STORAGE,4
4226,"SPECIAL WAREHOUSING AND STORAGE, NEC",4
4230,TERMINAL & JOINT TERMINAL MAINT FACILITIES FOR MOTOR FREIGHT TRANS,4
4231,TERMINAL & JOINT TERMINAL MAINT FACILITIES FOR MOTOR FREIGHT TRANS,4
4300,UNITED STATES POSTAL SERVICE,4
4310,UNITED STATES POSTAL SERVICE,4
4311,UNITED STATES POSTAL SERVICE,4
4400,WATER TRANSPORTATION,4
4410,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,4
4411,DEEP SEA FOREIGN TRANSPORTATION,4
4412,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,4
4420,DEEP SEA DOMESTIC TRANSPORTATION OF FREIGHT,4
4421,TRANSPORTATION TO AND BETWEEN NONCONTIGUOUS TERRITORIES,4
4422,COASTWISE TRANSPORTATION,4
4423,INTERCOASTAL TRANSPORTATION,4
4424,DEEP SEA DOMESTIC TRANSPORTATION OF FREIGHT,4
4430,FREIGHT TRANSPORTATION ON THE GREAT LAKES-ST. LAWRENCE SEAWAY,4
4431,GREAT LAKES-ST. LAWRENCE SEAWAY TRANSPORTATION,4
4432,FREIGHT TRANSPORTATION ON THE GREAT LAKES-ST. LAWRENCE SEAWAY,4
4440,"WATER TRANSPORTATION OF FREIGHT, NEC",4
4441,TRANSPORTATION ON RIVERS AND CANALS,4
4449,"WATER TRANSPORTATION OF FREIGHT, NEC",4
